grid_id,center_lat,center_lng,sw_lat,sw_lng,ne_lat,ne_lng
87,37.526385,126.963119,37.52616,126.962835,37.526611,126.963404
88,37.526385,126.963688,37.52616,126.963404,37.526611,126.963972
89,37.526385,126.964256,37.52616,126.963972,37.526611,126.96454
90,37.526385,126.964824,37.52616,126.96454,37.526611,126.965108
91,37.526385,126.965392,37.52616,126.965108,37.526611,126.965676
92,37.526385,126.965961,37.52616,126.965676,37.526611,126.966245
93,37.526385,126.966529,37.52616,126.966245,37.526611,126.966813
94,37.526385,126.967097,37.52616,126.966813,37.526611,126.967381
95,37.526385,126.967665,37.52616,126.967381,37.526611,126.967949
96,37.526836,126.95971,37.526611,126.959426,37.527061,126.959994
97,37.526836,126.960278,37.526611,126.959994,37.527061,126.960562
98,37.526836,126.960846,37.526611,126.960562,37.527061,126.961131
99,37.526836,126.961415,37.526611,126.961131,37.527061,126.961699
100,37.526836,126.961983,37.526611,126.961699,37.527061,126.962267
101,37.526836,126.962551,37.526611,126.962267,37.527061,126.962835
102,37.526836,126.963119,37.526611,126.962835,37.527061,126.963404
103,37.526836,126.963688,37.526611,126.963404,37.527061,126.963972
104,37.526836,126.964256,37.526611,126.963972,37.527061,126.96454
105,37.526836,126.964824,37.526611,126.96454,37.527061,126.965108
106,37.526836,126.965392,37.526611,126.965108,37.527061,126.965676
107,37.526836,126.965961,37.526611,126.965676,37.527061,126.966245
108,37.526836,126.966529,37.526611,126.966245,37.527061,126.966813
109,37.526836,126.967097,37.526611,126.966813,37.527061,126.967381
110,37.526836,126.967665,37.526611,126.967381,37.527061,126.967949
111,37.527286,126.959142,37.527061,126.958858,37.527512,126.959426
112,37.527286,126.95971,37.527061,126.959426,37.527512,126.959994
113,37.527286,126.960278,37.527061,126.959994,37.527512,126.960562
114,37.527286,126.960846,37.527061,126.960562,37.527512,126.961131
115,37.527286,126.961415,37.527061,126.961131,37.527512,126.961699
116,37.527286,126.961983,37.527061,126.961699,37.527512,126.962267
117,37.527286,126.962551,37.527061,126.962267,37.527512,126.962835
118,37.527286,126.963119,37.527061,126.962835,37.527512,126.963404
119,37.527286,126.963688,37.527061,126.963404,37.527512,126.963972
120,37.527286,126.964256,37.527061,126.963972,37.527512,126.96454
121,37.527286,126.964824,37.527061,126.96454,37.527512,126.965108
122,37.527286,126.965392,37.527061,126.965108,37.527512,126.965676
123,37.527286,126.965961,37.527061,126.965676,37.527512,126.966245
124,37.527286,126.966529,37.527061,126.966245,37.527512,126.966813
125,37.527286,126.967097,37.527061,126.966813,37.527512,126.967381
126,37.527286,126.967665,37.527061,126.967381,37.527512,126.967949
127,37.527737,126.958573,37.527512,126.958289,37.527962,126.958858
128,37.527737,126.959142,37.527512,126.958858,37.527962,126.959426
129,37.527737,126.95971,37.527512,126.959426,37.527962,126.959994
130,37.527737,126.960278,37.527512,126.959994,37.527962,126.960562
131,37.527737,126.960846,37.527512,126.960562,37.527962,126.961131
132,37.527737,126.961415,37.527512,126.961131,37.527962,126.961699
133,37.527737,126.961983,37.527512,126.961699,37.527962,126.962267
134,37.527737,126.962551,37.527512,126.962267,37.527962,126.962835
135,37.527737,126.963119,37.527512,126.962835,37.527962,126.963404
136,37.527737,126.963688,37.527512,126.963404,37.527962,126.963972
137,37.527737,126.964256,37.527512,126.963972,37.527962,126.96454
138,37.527737,126.964824,37.527512,126.96454,37.527962,126.965108
139,37.527737,126.965392,37.527512,126.965108,37.527962,126.965676
140,37.527737,126.965961,37.527512,126.965676,37.527962,126.966245
141,37.527737,126.966529,37.527512,126.966245,37.527962,126.966813
142,37.527737,126.967097,37.527512,126.966813,37.527962,126.967381
143,37.527737,126.967665,37.527512,126.967381,37.527962,126.967949
144,37.528187,126.958005,37.527962,126.957721,37.528412,126.958289
145,37.528187,126.958573,37.527962,126.958289,37.528412,126.958858
146,37.528187,126.959142,37.527962,126.958858,37.528412,126.959426
147,37.528187,126.95971,37.527962,126.959426,37.528412,126.959994
148,37.528187,126.960278,37.527962,126.959994,37.528412,126.960562
149,37.528187,126.960846,37.527962,126.960562,37.528412,126.961131
150,37.528187,126.961415,37.527962,126.961131,37.528412,126.961699
151,37.528187,126.961983,37.527962,126.961699,37.528412,126.962267
152,37.528187,126.962551,37.527962,126.962267,37.528412,126.962835
153,37.528187,126.963119,37.527962,126.962835,37.528412,126.963404
154,37.528187,126.963688,37.527962,126.963404,37.528412,126.963972
155,37.528187,126.964256,37.527962,126.963972,37.528412,126.96454
156,37.528187,126.964824,37.527962,126.96454,37.528412,126.965108
157,37.528187,126.965392,37.527962,126.965108,37.528412,126.965676
158,37.528187,126.965961,37.527962,126.965676,37.528412,126.966245
159,37.528187,126.966529,37.527962,126.966245,37.528412,126.966813
160,37.528187,126.967097,37.527962,126.966813,37.528412,126.967381
161,37.528187,126.967665,37.527962,126.967381,37.528412,126.967949
162,37.528638,126.957437,37.528412,126.957153,37.528863,126.957721
163,37.528638,126.958005,37.528412,126.957721,37.528863,126.958289
164,37.528638,126.958573,37.528412,126.958289,37.528863,126.958858
165,37.528638,126.959142,37.528412,126.958858,37.528863,126.959426
166,37.528638,126.95971,37.528412,126.959426,37.528863,126.959994
167,37.528638,126.960278,37.528412,126.959994,37.528863,126.960562
