,name,latitude,longitude,tag,score
0,강남구청,37.5175066,127.0473753,지방행정기관,1
1,강동구청,37.5300852,127.1237639,지방행정기관,1
2,강북구청,37.6397767,127.0255184,지방행정기관,1
3,강서구청,37.5509103,126.8495742,지방행정기관,1
4,관악구청,37.4782605,126.9515208,지방행정기관,1
5,광진구청,37.5383742,127.0822077,지방행정기관,1
6,구로구청,37.4954703,126.8876391,지방행정기관,1
7,금천구청,37.4568163,126.8954085,지방행정기관,1
8,중구청,37.5637584,126.9975517,지방행정기관,1
9,노원구청,37.6540782,127.0566045,지방행정기관,1
10,도봉구청,37.6687055,127.0471,지방행정기관,1
11,동대문구청,37.5742015,127.0398327,지방행정기관,1
12,동작구청,37.5124298,126.9397997,지방행정기관,1
13,마포구청,37.5660739,126.9014792,지방행정기관,1
14,서초구청,37.4835872,127.0326987,지방행정기관,1
15,서대문구청,37.5792607,126.9364946,지방행정기관,1
16,은평구청,37.6026712,126.9288772,지방행정기관,1
17,성동구청,37.5634092,127.0369449,지방행정기관,1
18,성북구청,37.589366,127.016743,지방행정기관,1
19,송파구청,37.5144533,127.1059047,지방행정기관,1
20,양천구청,37.5169508,126.8665644,지방행정기관,1
21,영등포구청,37.526344,126.896256,지방행정기관,1
22,용산구청,37.5323448,126.9901082,지방행정기관,1
23,종로구청,37.5734506,126.9791081,지방행정기관,1
24,중랑구청,37.6063046,127.0931523,지방행정기관,1
25,서울시청,37.566634,126.978328,지방행정기관,1
