연도,시도,자치구,학교급,설립구분,학교,우편번호,주소,경도,위도
2021,서울특별시,종로구,초등학교,공립,서울교동초등학교,3132,서울특별시 종로구 삼일대로 446,126.9882035,37.57475747
2021,서울특별시,종로구,초등학교,공립,서울독립문초등학교,3025,서울특별시 종로구 통일로12길 23,126.960159,37.57412446
2021,서울특별시,종로구,초등학교,공립,서울매동초등학교,3027,서울특별시 종로구 사직로9길 19,126.9673426,37.57706501
2021,서울특별시,종로구,초등학교,공립,서울명신초등학교,3093,서울특별시 종로구 낙산길 250,127.0138272,37.58103432
2021,서울특별시,종로구,초등학교,공립,서울세검정초등학교,3014,서울특별시 종로구 세검정로9길 1,126.9607104,37.60355465
2021,서울특별시,종로구,초등학교,공립,서울재동초등학교,3056,서울특별시 종로구 북촌로4길 7,126.9857474,37.57990699
2021,서울특별시,종로구,초등학교,공립,서울창신초등학교,3103,서울특별시 종로구 지봉로 73,127.0142939,37.57621187
2021,서울특별시,종로구,초등학교,공립,서울청운초등학교,3032,서울특별시 종로구 자하문로 105,126.9692368,37.58592132
2021,서울특별시,종로구,초등학교,공립,서울혜화초등학교,3067,서울특별시 종로구 혜화로 32,127.0002159,37.58918873
2021,서울특별시,종로구,초등학교,공립,서울효제초등학교,3126,서울특별시 종로구 대학로 12,127.0034914,37.5726899
2021,서울특별시,종로구,초등학교,사립,상명대학교사범대학부속초등학교,3015,서울특별시 종로구 홍지문2길 1,126.9566887,37.60071167
2021,서울특별시,종로구,초등학교,사립,운현초등학교,3131,서울특별시 종로구 삼일대로 460,126.9882953,37.57613692
2021,서울특별시,종로구,중학교,국립,서울대학교사범대학부설여자중학교,3087,서울특별시 종로구 대학로 64,127.0029182,37.57778577
2021,서울특별시,종로구,중학교,공립,청운중학교,3047,서울특별시 종로구 창의문로 51,126.9703656,37.58966029
2021,서울특별시,종로구,중학교,사립,경신중학교,3067,서울특별시 종로구 혜화로 74,126.9995553,37.59206239
2021,서울특별시,종로구,중학교,사립,대신중학교,3029,서울특별시 종로구 사직로 9,126.9615803,37.57371399
2021,서울특별시,종로구,중학교,사립,덕성여자중학교,3062,서울특별시 종로구 율곡로3길 49,126.9815731,37.57809389
2021,서울특별시,종로구,중학교,사립,동성중학교,3083,서울특별시 종로구 대학로 156,127.0034,37.58463685
2021,서울특별시,종로구,중학교,사립,배화여자중학교,3027,서울특별시 종로구 필운대로1길 34,126.9652634,37.57929545
2021,서울특별시,종로구,중학교,사립,상명대학교사범대학부속여자중학교,3016,서울특별시 종로구 홍지문2길 20,126.9546615,37.60333982
2021,서울특별시,종로구,중학교,사립,중앙중학교,3051,서울특별시 종로구 창덕궁길 164,126.9867504,37.58609684
2021,서울특별시,종로구,고등학교,공립,경기상업고등학교,3047,서울특별시 종로구 자하문로 136,126.970055,37.58894116
2021,서울특별시,종로구,고등학교,공립,경복고등학교,3047,서울특별시 종로구 자하문로28가길 9,126.9725094,37.58692413
2021,서울특별시,종로구,고등학교,공립,서울과학고등학교,3066,서울특별시 종로구 혜화로 63,126.9973312,37.59190538
2021,서울특별시,종로구,고등학교,공립,서울국제고등학교,3066,서울특별시 종로구 성균관로13길 40,126.9958563,37.59162635
2021,서울특별시,종로구,고등학교,사립,경신고등학교,3067,서울특별시 종로구 혜화로 74,126.9995553,37.59206239
2021,서울특별시,종로구,고등학교,사립,대동세무고등학교,3057,서울특별시 종로구 계동길 84-10,126.9881946,37.58070856
2021,서울특별시,종로구,고등학교,사립,대신고등학교,3029,서울특별시 종로구 사직로 9,126.9615803,37.57371399
2021,서울특별시,종로구,고등학교,사립,덕성여자고등학교,3061,서울특별시 종로구 율곡로3길 50,126.9831496,37.57755783
2021,서울특별시,종로구,고등학교,사립,동성고등학교,3083,서울특별시 종로구 대학로 156,127.0034,37.58463685
2021,서울특별시,종로구,고등학교,사립,배화여자고등학교,3039,서울특별시 종로구 필운대로1길 34,126.9652634,37.57929545
2021,서울특별시,종로구,고등학교,사립,상명대학교사범대학부속여자고등학교,3016,서울특별시 종로구 홍지문2길 20,126.9546615,37.60333982
2021,서울특별시,종로구,고등학교,사립,서울예술고등학교,3011,서울특별시 종로구 평창문화로 70,126.9685012,37.6060484
2021,서울특별시,종로구,고등학교,사립,서일문화예술고등학교,3094,서울특별시 종로구 지봉로17길 49,127.0132979,37.57937033
2021,서울특별시,종로구,고등학교,사립,중앙고등학교,3051,서울특별시 종로구 창덕궁길 164,126.9867504,37.58609684
2021,서울특별시,종로구,특수학교,국립,서울농학교,3032,서울특별시 종로구 필운대로 103,126.9682659,37.5849864
2021,서울특별시,종로구,특수학교,국립,서울맹학교,3032,서울특별시 종로구 필운대로 97,126.9676101,37.58471755
2021,서울특별시,종로구,특수학교,공립,서울경운학교,3132,서울특별시 종로구 삼일대로 454,126.9874207,37.5750617
2021,서울특별시,종로구,특수학교,사립,수도사랑의학교,3028,서울특별시 종로구 사직로7길 17,126.9652319,37.57477957
2014,서울특별시,중구,각종학교,사립,예원학교,100120,서울특별시 중구 정동길 25,126.9722261,37.56689273
2015,서울특별시,중구,각종학교,사립,예원학교,100120,서울특별시 중구 정동길 25,126.9722261,37.56689273
2016,서울특별시,중구,각종학교,사립,예원학교,4518,서울특별시 중구 정동길 25,126.9722261,37.56689273
2021,서울특별시,종로구,방송통신고,공립,경복고등학교 부설 방송통신고등학교,3047,서울특별시 종로구 자하문로28가길 9,126.9725094,37.58692458
2021,서울특별시,종로구,평생학교,사립,학력인정 진형고등학교(2년제),3115,서울특별시 종로구 종로 386,127.0203535,37.57408261
2021,서울특별시,중구,유치원,공립,서울광희초등학교병설유치원,4569,서울특별시 중구 다산로 269,127.0155985,37.56766904
2021,서울특별시,중구,유치원,공립,서울덕수초등학교병설유치원,4519,서울특별시 중구 덕수궁길 140,126.974231,37.56820862
2021,서울특별시,중구,유치원,공립,서울장충유치원,4609,서울특별시 중구 청구로17길 40,127.0114283,37.55915106
2021,서울특별시,중구,유치원,공립,서울충무초등학교병설유치원,4618,서울특별시 중구 퇴계로 50길 13,127.0015532,37.56190053
2021,서울특별시,중구,유치원,사립,가명유치원,4506,서울특별시 중구 청파로 447-1,126.9674602,37.55915129
2021,서울특별시,중구,유치원,사립,근화유치원,4609,서울특별시 중구 동호로20길 24,127.0089627,37.55906872
2021,서울특별시,중구,유치원,사립,리라유치원,4628,서울특별시 중구 소파로2길 7,126.9879797,37.55781793
2021,서울특별시,중구,유치원,사립,수암유치원,4595,서울특별시 중구 다산로 32,127.0088734,37.54949484
2021,서울특별시,중구,유치원,사립,숭의여자대학교부설유치원,4628,서울특별시 중구 소파로2길 10,126.987229,37.55677019
2021,서울특별시,중구,유치원,사립,신일유치원,4590,서울특별시 중구 동호로10길 27,127.0118625,37.55538972
2021,서울특별시,중구,유치원,사립,약수유치원,4593,서울특별시 중구 동호로10길 30,127.0122846,37.55469057
2021,서울특별시,중구,유치원,사립,영락유치원,4552,서울특별시 중구 수표로 33,126.9889361,37.56428474
2021,서울특별시,중구,유치원,사립,일신유치원,4635,서울특별시 중구 퇴계로6길 36,126.9786713,37.55703583
2021,서울특별시,중구,유치원,사립,한일유치원,4583,서울특별시 중구 퇴계로88다길 5,127.0200796,37.56318285
2021,서울특별시,중구,초등학교,공립,서울광희초등학교,4569,서울특별시 중구 다산로 269,127.0155985,37.56766904
2021,서울특별시,중구,초등학교,공립,서울남산초등학교,4629,서울특별시 중구 퇴계로22길 17,126.9871616,37.56020187
2021,서울특별시,중구,초등학교,공립,서울덕수초등학교,4519,서울특별시 중구 덕수궁길 140,126.974231,37.56820862
2021,서울특별시,중구,초등학교,공립,서울봉래초등학교,4501,서울특별시 중구 손기정로 73,126.9652325,37.55638201
2021,서울특별시,중구,초등학교,공립,서울신당초등학교,4579,서울특별시 중구 난계로 141,127.0236007,37.56345517
2021,서울특별시,중구,초등학교,공립,서울장충초등학교,4609,서울특별시 중구 청구로17길 40,127.0114283,37.55915106
2021,서울특별시,중구,초등학교,공립,서울청구초등학교,4589,서울특별시 중구 다산로 170,127.0142563,37.55877623
2021,서울특별시,중구,초등학교,공립,서울충무초등학교,4618,서울특별시 중구 퇴계로50길 13,127.0015532,37.56190053
2021,서울특별시,중구,초등학교,공립,서울흥인초등학교,4586,서울특별시 중구 청구로6길 11,127.0145555,37.56086967
2021,서울특별시,중구,초등학교,사립,동산초등학교,4592,서울특별시 중구 매봉18길 109,127.017137,37.5557212
2021,서울특별시,중구,초등학교,사립,리라초등학교,4628,서울특별시 중구 소파로2길 7,126.9879797,37.55781793
2021,서울특별시,중구,초등학교,사립,숭의초등학교,4628,서울특별시 중구 소파로2길 10,126.987229,37.55677019
2021,서울특별시,중구,중학교,공립,금호여자중학교,4587,서울특별시 중구 청구로 6,127.0209834,37.55797447
2021,서울특별시,중구,중학교,공립,덕수중학교,4548,서울특별시 중구 마른내로9길 10,126.9972197,37.56543906
2021,서울특별시,중구,중학교,공립,장원중학교,4603,서울특별시 중구 동호로15길 93-34,127.0059749,37.5539456
2021,서울특별시,중구,중학교,공립,창덕여자중학교,4516,서울특별시 중구 정동길 22,126.9694919,37.5659318
2021,서울특별시,중구,중학교,사립,대경중학교,4592,서울특별시 중구 매봉18길 111,127.01698,37.55637521
2021,서울특별시,중구,중학교,사립,장충중학교,4603,서울특별시 중구 동호로15길 93,127.007327,37.55363344
2021,서울특별시,중구,중학교,사립,한양중학교,4566,서울특별시 중구 을지로 299,127.0121291,37.5654003
2021,서울특별시,중구,중학교,사립,환일중학교,4500,서울특별시 중구 환일길 47,126.9618192,37.55281627
2021,서울특별시,중구,고등학교,공립,성동고등학교,4579,서울특별시 중구 퇴계로90길 17,127.0223889,37.56416234
2021,서울특별시,중구,고등학교,공립,성동공업고등학교,4571,서울특별시 중구 다산로 290,127.0172586,37.56846001
2021,서울특별시,중구,고등학교,공립,성동글로벌경영고등학교,4566,서울특별시 중구 퇴계로 375,127.0135239,37.5658533
2021,서울특별시,중구,고등학교,사립,대경상업고등학교,4592,서울특별시 중구 매봉18길 111,127.01698,37.55637521
2021,서울특별시,중구,고등학교,사립,리라아트고등학교,4628,서울특별시 중구 소파로2길 24,126.9882045,37.55712432
2021,서울특별시,중구,고등학교,사립,서울의료보건고등학교,4502,서울특별시 중구 만리재로37길 30,126.9667198,37.55729793
2021,서울특별시,중구,고등학교,사립,이화여자고등학교,4516,서울특별시 중구 정동길,126.9690315,37.5657056
2021,서울특별시,중구,고등학교,사립,이화여자외국어고등학교,4516,서울특별시 중구 통일로4길 30,126.9696121,37.56445531
2021,서울특별시,중구,고등학교,사립,장충고등학교,4603,서울특별시 중구 동호로15길 93,127.007327,37.55363344
2021,서울특별시,중구,고등학교,사립,한양공업고등학교,4566,서울특별시 중구 을지로 299,127.0121291,37.5654003
2021,서울특별시,중구,고등학교,사립,환일고등학교,4500,서울특별시 중구 환일길 47,126.9618192,37.55281627
2017,서울특별시,중구,각종학교,사립,예원학교,4518,서울특별시 중구 정동길 25,126.9722261,37.56689273
2018,서울특별시,중구,각종학교,사립,예원학교,4518,서울특별시 중구 정동길 25,126.9722261,37.56689273
2019,서울특별시,중구,각종학교,사립,예원학교,4518,서울특별시 중구 정동길 25,126.9722261,37.56689273
2021,서울특별시,용산구,유치원,공립,서울남정초등학교병설유치원,4368,서울특별시 용산구 원효로64길 17-10,126.9649749,37.53530044
2021,서울특별시,용산구,유치원,공립,서울서빙고초등학교병설유치원,4384,서울특별시 용산구 서빙고로51길 14,126.9922883,37.52204946
2021,서울특별시,용산구,유치원,공립,서울청파초등학교병설유치원,4306,서울특별시 용산구 효창원로 228,126.9648704,37.54754824
