,터널명,터널종류,위도,경도
1010,아차산 지하차도,지하차도,37.547471,127.0972285
1011,마장지하차도,지하차도,37.565939,127.03762449999999
1012,여의도 한강공원 지하차도,지하차도,37.533305,126.91784949999999
1013,홍지문터널,도로터널,37.600479,126.9638395
1014,정릉터널,도로터널,37.609172,126.9825395
1015,구룡터널,도로터널,37.469788,127.0651355
1016,화곡지하차도,지하차도,37.5661185,126.85786350000001
1017,가양지하차도,지하차도,37.573885000000004,126.844009
1018,개포지하차도,지하차도,37.475947500000004,127.05885
1019,경인1지하차도,지하차도,37.530266,126.8677395
1020,경인2지하차도,지하차도,37.527901,126.848898
1021,광나루지하차도,지하차도,37.5473645,127.097635
1022,구반포지하차도,지하차도,37.505474,126.986539
1023,노원지하차도,지하차도,37.6530785,127.05513099999999
1024,마들지하차도,지하차도,37.645523,127.05690100000001
1025,반포지하차도,지하차도,37.509856,126.99878100000001
1026,상계지하차도,지하차도,37.6616995,127.05246650000001
1027,성수대교북단지하차도,지하차도,37.538672000000005,127.0407165
1028,수락지하차도,지하차도,37.686719999999994,127.055476
1029,수서지하차도,지하차도,37.4929655,127.100191
1030,암사지하차도,지하차도,37.554854,127.1245095
1031,일원지하차도,지하차도,37.486200999999994,127.07558900000001
1032,잠두봉지하차도,지하차도,37.5445345,126.9122895
1033,중랑교동측언더패스,지하차도,37.5928665,127.07111950000001
1034,중랑교서측언더패스,지하차도,37.5928805,127.0694555
1035,염창지하차도,지하차도,37.5544975,126.8750365
1036,한강대교동측지하차도,지하차도,37.519839,126.9667555
1037,구룡지하차도,지하차도,37.471669,127.051459
1038,금하지하차도,지하차도,37.451755,126.8929275
1039,월계1교 상행 언더패스,지하차도,37.6330085,127.063653
1040,월계1교 하행 언더패스,지하차도,37.632486,127.0626075
1041,월릉교 상행 언더패스,지하차도,37.6164625,127.072065
1042,월릉교 하행 언더패스,지하차도,37.6159285,127.0705275
1043,도봉지하차도,지하차도,37.65387,127.0524315
1044,초안산지하차도,지하차도,37.6367815,127.05830850000001
1045,염곡동서지하차도,지하차도,37.466419,127.043984
1046,망원초록길지하차도,지하차도,37.5511465,126.9021755
1047,헌화터널,도로터널,37.4558855,127.0410725
1048,방화터널,도로터널,37.580411999999995,126.817504
1049,도림천 지하차도,지하차도,37.4683995,126.946839
1051,Ramp-D터널,도로터널,37.468171999999996,126.94834850000001
1052,관악터널,도로터널,37.4535705,126.9273745
1054,봉천터널,도로터널,37.469848999999996,126.965702
1056,서초터널,도로터널,37.466719499999996,127.0032095
1058,용마지하차도,지하차도,37.580467999999996,127.09365399999999
1059,용마터널,도로터널,37.5785225,127.10774
1061,우면산터널,도로터널,37.4723975,127.015552
1063,장지 지하차도,지하차도,37.4857925,127.1365525
1064,남산별관 진입터널,도로터널,37.5565495,126.992103
1065,서부간선지하도로,도로터널,37.502295000000004,126.88809599999999
1066,중앙지하보차도,지하차도,37.574282,126.976859
1067,지하차도,지하차도,37.5667895,126.987224
1068,한남2동지하차도,지하차도,37.53459599999999,127.000024
1069,갈월지하차도,지하차도,37.5449945,126.971153
1070,신용산지하차도,지하차도,37.5312495,126.96602200000001
1071,이촌지하차도,지하차도,37.5178265,126.9832785
1072,행당지하보차도,지하차도,37.55867,127.038911
1073,금호동4가 지하차도,지하차도,37.5480655,127.02612099999999
1074,가람교지하차도,지하차도,37.5511725,127.053808
1075,광장중앞 지하차도,지하차도,37.54622,127.1010375
1076,군자지하차도,지하차도,37.560544,127.0707395
1077,동부지하차도,지하차도,37.6049,127.0687475
1078,만남지하차도,지하차도,37.574784,127.04373749999999
1079,신이문지하차도,지하차도,37.6007205,127.0667875
1080,장안교 지하차도,지하차도,37.580188,127.07597
1081,회기역앞파전골목지하보차도,지하차도,37.589084,127.0566915
1082,답십리 두산아파트 박스터널 지하차도,지하차도,37.570268999999996,127.059476
1083,외대앞역지하차도,지하차도,37.59545850000001,127.0628195
1084,상봉지하차도,지하차도,37.598260499999995,127.087904
1085,동선지하차도,지하차도,37.595423,127.0200965
1086,수녀원앞 굴다리,지하차도,37.6122015,127.0034575
1087,청덕초교앞 굴다리,지하차도,37.6115085,127.00138749999999
1088,오패산터널,도로터널,37.6307545,127.0289535
1089,가인지하차도,지하차도,37.6597255,127.0450805
1090,방학로터널,도로터널,37.6622915,127.016842
1091,공릉지하차도,지하차도,37.631669,127.0673615
1092,노원길지하박스차도,지하차도,37.637009000000006,127.079699
1093,덕릉고개 지하차도,지하차도,37.6775475,127.09237999999999
1094,중계로지하차도,지하차도,37.6410185,127.0829535
1095,은평터널,도로터널,37.5886555,126.9030525
1096,연희동 굴다리,지하차도,37.565547499999994,126.9280655
1097,양화진 지하보차도,지하차도,37.5458085,126.911107
1098,구로큰길,지하차도,37.497547999999995,126.88691399999999
1100,오류지하차도,지하차도,37.4934345,126.84048849999999
1101,구일역앞지하보차도,지하차도,37.497052,126.87150199999999
1102,밤동산터널,도로터널,37.502882,126.886041
1103,박미지하차도,지하차도,37.438146,126.9041
1104,삼성산1터널,도로터널,37.4549325,126.910868
1105,삼성산2터널,도로터널,37.453984500000004,126.913511
1106,상도지하차도,지하차도,37.502255000000005,126.946316
1107,신상도지하차도,지하차도,37.5006655,126.9450675
1108,고구동산 지하차도,지하차도,37.508914000000004,126.953034
1109,낙성대터널,도로터널,37.4689895,126.963627
1110,송파나루 지하차도,지하차도,37.512069499999996,127.1037905
1111,종합운동장지하차도,지하차도,37.5172435,127.077572
1112,동남로 지하보차도,지하차도,37.5363325,127.15165999999999
3431,개화터널,도로터널,37.5857235,126.804541
3469,불암산터널,도로터널,37.672422499999996,127.098333
3470,수락산터널,도로터널,37.684737,127.07145399999999
3557,세곡터널,도로터널,37.457080000000005,127.09515999999999
3613,중랑IC1지하차도,지하차도,37.61094,127.11519200000001
3617,갈매지하차도,지하차도,37.6200295,127.11331100000001
3708,국제선방향 지하차도,지하차도,37.5618325,126.8064345
3709,국제선진입 지하차도,지하차도,37.566617,126.8044685
3710,하늘길 지하차도,지하차도,37.562602,126.7999355
3711,개화 지하차도,지하차도,37.5752725,126.8012445
3712,국내선 진입 지하차도,지하차도,37.562464,126.799951
3713,인천공항방향 지하차도,지하차도,37.5676065,126.804858
