위도,경도,시설명
37.5418520007499,127.001001289178,보광
37.6106467342821,127.040413250468,월곡
37.592167680872,126.982823962243,가회
37.5972134728493,127.025768230772,개운산
37.5862690755334,126.976603538783,경내
,,낙산
37.5537996699586,126.98380264602,남산소
37.6186062233333,127.001232253707,정릉2
37.5395323496515,127.009615766973,한남
37.5958756496148,127.008710342034,성북1
37.6021817570977,126.995947672514,성북2고구
37.5925481517458,126.989614815088,성북2저구
37.6154147804327,127.013565764354,인수
37.6137269028804,126.997597381206,정릉3
37.6197915298294,127.005532713286,정릉4
37.5960126670296,127.026017499339,종암1
37.5917568393601,126.992352219651,혜명
37.5807597279754,126.931557440644,백련
37.60943148911,126.943955711978,불광터널
37.5834523216577,126.930130495471,가좌
37.5514649610226,126.942979960696,노고산
37.5700792038291,126.948492655866,능안
37.5447318483083,126.954279417254,만리
37.5969788744966,126.941120785813,홍은
37.6331223148848,126.933366851447,기자촌
37.6059312293439,126.951031353787,자하문
37.5573329952847,127.021942603597,대현산
37.5488295794122,127.096799919823,아차산
37.5733520089552,127.089122137473,용마
37.6185370737408,127.111394979574,신내
37.5533942672699,127.017754828433,금호
37.5525064646397,127.028570057317,응봉
37.6387792338381,127.083240333141,공릉
37.6383625282481,127.051739237091,월계
37.6421442835294,127.002658469409,4.19
37.6273415768694,127.031928949556,번동소
37.6709869737776,127.087878019951,상계2
37.6373385062928,127.005639040896,수유5
37.6413268636948,127.009048644992,수유6
37.6624694240852,127.006160018604,우이
37.5431731289663,126.8779422018,목동
37.5274318869812,126.830086887893,신월
37.5096275177204,126.855968697811,신정
37.5492424830708,126.842445128444,우장산
37.4912792437148,126.852807720193,개봉
37.4927335019796,126.847297148809,오류2
37.4959502995119,126.818169704405,온수2
37.5422239160133,126.855353600559,화곡
37.4751227759367,126.957455659657,낙성대
37.5145306282857,126.952430150008,노량진
37.5077517549189,126.92673614059,대방
37.4744363273178,126.906946187103,독산
37.5083254920322,126.953767110085,상도
37.4724703423637,126.971761142395,남현
37.482293148345,126.962384529655,봉천6-2
37.4693826238834,126.969756912659,봉천11(대)
37.4927662360841,126.949035651603,봉현
37.4928150818354,126.965818770818,사당3
37.4941118064266,126.937594360049,상도3
37.4633487353731,126.92734126912,신림2-1
37.4926673887663,126.944808955569,국사봉
37.4748379152487,126.943564934376,신림2
37.4637707756465,126.93591773124,신림9
37.5209880483513,127.061395898807,봉은
37.4953873786007,127.003994419,반포
37.4726553883293,126.992432652503,방배
37.4800662421564,127.023595532775,서초
37.4818612174396,127.027806084075,양재
37.4555780191912,127.073140940042,내곡
37.48003153836,127.085745689067,일원
37.5374114232963,127.154246253068,길동
37.5004259098598,127.131604127462,오금
37.4891109018001,127.159864310775,거마
35.1563638021208,129.144251569781,
